municip;FPV;UDESO;FP;TOT
Exaltación de la Cruz;7076;988;847;17597
General Alvarado;11145;5249;1761;24623
General Alvear;3845;1946;0;6572
General Arenales;5531;3773;572;11083
General Belgrano;5148;3856;1191;11778
General Guido;884;998;0;2118
Adolfo Alsina;3129;4685;933;11015
Adolfo Gonzales Chaves;2958;370;0;8129
Alberti;4115;2819;0;7581
Ameghino;2666;2370;0;6167
Arrecifes;8605;3548;0;18778
Ayacucho;5025;5102;160;13756
Azul;16439;11089;1167;42335
Bahía Blanca;69924;20497;8617;178347
Balcarce;10281;9907;2051;29531
Baradero;10254;1991;388;20789
Benito Juárez;6221;4981;0;13501
Berisso;31669;5531;4421;58085
Bolívar;9671;7563;889;23152
Bragado;12343;8686;459;28174
Brandsen;8646;4606;865;16239
Campana;26223;11191;1771;56021
Cañuelas;13502;3396;1902;28972
Capitán Sarmiento;3520;1073;154;9445
Carlos Casares;5912;1280;1577;14583
Carlos Tejedor;5255;2226;0;8131
Carmen de Areco;2630;2293;210;9687
Castelli;2630;2355;204;5809
Chacabuco;14939;8287;1106;32152
Chivilcoy;23238;8703;1376;43302
Colón;7169;1419;1348;15841
Coronel de Marina Leonardo Rosales;10461;2827;0;35108
Coronel Dorrego;1796;5889;0;10706
Coronel Pringles;3147;5116;831;15526
Coronel Suárez;3484;4865;0;25804
Daireaux;3175;4729;1009;11339
Dolores;8850;900;203;17922
Ensenada;18612;3054;5116;38549
General Juan Madariaga;6036;4494;409;12729
General La Madrid;3510;2984;0;7340
General Las Heras;4422;1978;1418;9482
General Lavalle;1121;1115;29;2506
General Paz;3358;1076;1221;7946
General Pinto;4218;932;668;7639
General Pueyrredón;69954;44876;37946;372978
General Rodríguez;22109;4034;4629;44768
General Viamonte;4136;4923;0;12209
General Villegas;10436;4771;0;18402
Guaminí;3986;3125;0;7699
Hipólito Yrigoyen;1546;520;414;6001
Junín;20854;14151;5493;58770
La Costa;18759;11936;1228;40810
La Plata;142322;51982;38980;386938
Laprida;3828;1864;613;6925
Las Flores;7346;1115;238;16253
Leandro N. Alem;5431;2071;413;11238
Lincoln;12697;8361;2346;28509
Lobería;5256;4555;697;11612
Lobos;10618;4735;0;23060
Luján;30949;14787;3545;61710
Maipú;2786;3517;0;7369
Mar Chiquita;7737;3622;1184;14961
Marcos Paz;11935;2337;0;29772
Mercedes;12000;2383;3958;40582
Monte;5790;3130;1900;13197
Monte Hermoso;2490;587;1018;4605
Navarro;4642;3111;926;11058
Necochea;22052;10966;15069;60110
Nueve de Julio;12194;9887;5408;32249
Olavarría;29058;10355;3826;69800
Patagones;7764;4639;1691;17613
Pehuajó;13605;3973;1857;25498
Pellegrini;1828;1864;0;4044
Pergamino;25038;16447;6818;66213
Pila;1257;632;202;2333
Pinamar;3333;2958;1063;14831
Puán;4320;4864;0;11499
Ramallo;7492;7592;1222;20920
Rauch;4116;5469;357;10883
Rivadavia;1980;0;1576;10566
Rojas;3753;4061;797;16255
Roque Pérez;4941;917;265;7817
Saavedra;5816;4315;0;13630
Saladillo;2240;14173;1126;20802
Salliqueló;849;4612;0;6100
Salto;8178;2146;5183;20623
San Andrés de Giles;8035;2529;0;14140
San Antonio de Areco;5807;6107;1220;15168
San Cayetano;1679;2567;669;5525
San Nicolás;23157;7039;2607;92100
San Pedro;8979;9310;2962;35597
Suipacha;3817;1255;0;7153
Tandil;23269;31550;4596;76614
Tapalqué;3327;2156;434;6428
Tordillo;903;433;0;1453
Tornquist;3487;1516;0;8467
Trenque Lauquen;11033;10504;1190;27579
Tres Arroyos;9007;3344;721;37697
Tres Lomas;2401;0;0;5164
Veinticinco de Mayo;9011;3295;1493;23991
Villa Gesell;8739;6571;603;18743
Villarino;6274;4426;0;17500
Zárate;25695;3206;3097;68283
Florencio Varela;84455;15810;11492;207746
Almirante Brown;178891;17525;2208;311482
Avellaneda;106807;23147;1675;215646
Berazategui;105964;13877;12822;185380
Escobar;54625;9306;9917;115972
General San Martín;85923;23594;22762;246450
La Matanza;359026;56383;50918;703816
Lanús;118595;26610;29153;291928
Lomas de Zamora;193656;23297;31485;353045
Merlo;111021;19807;31923;286274
Moreno;105831;15739;26110;228053
Pilar;74612;10551;13248;141477
Quilmes;122968;28610;25311;329377
San Isidro;38623;78061;13816;207477
Tres de Febrero;82523;23364;22868;210336
Vicente López;36385;25975;39967;180659
Distrito Federal;0;0;0;0
San Miguel;72461;9497;37821;157439
Malvinas Argentinas;56763;8121;59891;180799
José C. Paz;65986;10505;13095;140058
Esteban Echeverría;80489;10451;11064;154101
Ezeiza;42258;4182;6663;80238
Hurlingham;45048;8957;8263;111881
Morón;33929;16733;21183;203340
Ituzaingó;36553;13327;10133;105645
Tigre;122363;8929;8041;196680
San Fernando;33581;7422;6598;98173
Magdalena;4892;3122;484;10626
Punta Indio;2684;1712;1079;6536
Chascomús;5224;6695;1493;23878
Lezama;1526;831;413;3765
Presidente Perón;20590;1359;8144;40555
San Vicente;11137;2103;5292;33686
